clothing_id,pattern_type,has_graphic,style,fit_type
pants_10,plain,False,casual,loose
pants_11,plain,False,casual,regular
pants_12,plain,False,casual,loose
pants_1,plain,False,casual,regular
pants_2,plain,True,casual,regular
pants_3,plain,False,casual,loose
pants_4,plain,False,casual,loose
pants_5,plain,True,streetwear,loose
pants_6,plain,False,casual,loose
pants_7,plain,False,casual,loose
pants_8,plain,False,casual,loose
pants_9,plain,False,casual,regular
shirt_10,plain,True,casual,regular
shirt_11,checkered,False,casual,regular
shirt_12,checkered,True,casual,regular
shirt_13,plain,True,casual,regular
shirt_14,checkered,False,casual,regular
shirt_1,plain,True,casual,regular
shirt_2,plain,True,casual,regular
shirt_3,striped,False,casual,oversized
shirt_4,plain,True,casual,regular
shirt_5,plain,True,vintage,regular
shirt_6,striped,True,casual,regular
shirt_7,graphic pattern,True,streetwear,oversized
shirt_8,plain,True,casual,regular
shirt_9,plain,True,casual,regular
shoes_1,other,False,athletic,N/A
shoes_2,plain,True,casual,N/A
shoes_3,other,True,athletic,N/A
shoes_4,other,False,athletic,N/A
